TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
312777.5117,-71.004,-16.409,-1007.903,1767.5,-2598.75,901.25,-1109.6,369.36,1833.12
312777.5617,-71.675,-16.043,-1005.89,1557.5,-2773.75,831.25,-1115.68,372.4,1834.64
312777.6117,-70.028,-14.152,-1004.548,1618.75,-2677.5,936.25,-1123.28,372.4,1824.0
312777.6617,-71.37,-13.115,-1007.354,1627.5,-2546.25,822.5,-1105.04,364.8,1842.24
312777.7117,-70.577,-15.433,-1007.72,1706.25,-2625.0,787.5,-1112.64,358.72,1828.56
312777.7617,-68.32,-14.945,-1005.829,1653.75,-2633.75,787.5,-1114.16,372.4,1822.48
312777.8117,-71.98,-15.799,-1002.535,1583.75,-2546.25,857.5,-1115.68,367.84,1839.2
312777.8617,-70.699,-12.627,-1005.646,1741.25,-2712.5,901.25,-1105.04,358.72,1839.2
312777.9117,-68.198,-16.104,-1007.72,1785.0,-2782.5,901.25,-1108.08,373.92,1846.8
312777.9617,-71.98,-15.86,-1008.452,1706.25,-2607.5,656.25,-1103.52,375.44,1833.12
312778.0117,-70.943,-14.579,-1002.474,1767.5,-2668.75,840.0,-1121.76,369.36,1827.04
312778.0617,-70.028,-15.433,-1008.635,1601.25,-2633.75,770.0,-1109.6,373.92,1831.6
312778.1117,-73.078,-13.786,-1004.243,1732.5,-2642.5,805.0,-1123.28,361.76,1837.68
312778.1617,-70.272,-14.091,-1007.781,1793.75,-2590.0,945.0,-1108.08,364.8,1824.0
312778.2117,-68.564,-12.261,-1005.341,1662.5,-2581.25,857.5,-1120.24,380.0,1825.52
312778.2617,-70.516,-12.505,-1007.476,1662.5,-2660.0,796.25,-1123.28,364.8,1837.68
312778.3117,-69.174,-16.409,-1008.33,1706.25,-2625.0,901.25,-1106.56,378.48,1817.92
312778.3617,-73.993,-15.311,-1006.927,1697.5,-2703.75,831.25,-1117.2,360.24,1825.52
312778.4117,-69.479,-14.274,-1006.439,1653.75,-2686.25,875.0,-1105.04,363.28,1836.16
312778.4617,-70.15,-13.176,-1006.134,1653.75,-2555.0,883.75,-1094.4,373.92,1852.88
