TimeStamp,ECR,FCR,ECU,FCU
311824.0157,-12340.36,-2050.45,-3704.12,-6676.25
311824.0167,-12234.98,-1932.19,-3612.47,-6578.97
311824.0177,-12167.41,-1854.71,-3548.43,-6516.6
311824.0187,-12150.19,-1841.16,-3526.74,-6500.01
311824.0197,-12160.4,-1850.32,-3534.56,-6504.39
311824.0207,-12196.26,-1885.46,-3576.76,-6536.68
311824.0217,-12271.74,-1970.39,-3646.18,-6614.73
311824.0227,-12369.21,-2082.92,-3729.73,-6711.44
311824.0237,-12478.64,-2204.75,-3830.72,-6820.44
311824.0247,-12608.43,-2338.74,-3950.69,-6940.32
311824.0257,-12724.59,-2468.87,-4051.78,-7044.32
311824.0267,-12822.58,-2587.13,-4139.81,-7134.72
311824.0277,-12910.18,-2682.3,-4218.1,-7212.78
311824.0287,-12949.42,-2725.32,-4254.63,-7249.93
311824.0297,-12943.46,-2721.98,-4248.71,-7244.35
311824.0307,-12905.07,-2682.69,-4209.95,-7208.35
311824.0317,-12821.15,-2585.41,-4131.46,-7125.66
311824.0327,-12700.37,-2451.66,-4023.84,-7008.98
311824.0337,-12562.32,-2300.93,-3901.82,-6877.76
311824.0347,-12425.71,-2154.06,-3778.03,-6750.97
311824.0357,-12307.5,-2028.47,-3676.99,-6643.87
311824.0367,-12209.75,-1917.17,-3589.96,-6553.94
311824.0377,-12150.34,-1841.26,-3533.51,-6492.19
311824.0387,-12136.7,-1823.04,-3518.53,-6478.83
311824.0397,-12144.66,-1839.59,-3521.73,-6490.52
311824.0407,-12183.1,-1880.88,-3554.68,-6524.18
311824.0417,-12267.64,-1972.68,-3632.12,-6605.91
311824.0427,-12390.47,-2101.47,-3745.65,-6721.55
311824.0437,-12529.18,-2249.15,-3875.3,-6854.82
311824.0447,-12659.03,-2395.11,-3994.94,-6979.37
311824.0457,-12773.37,-2522.75,-4096.75,-7090.62
311824.0467,-12873.46,-2629.23,-4176.81,-7180.02
311824.0477,-12943.7,-2707.2,-4238.08,-7241.3
311824.0487,-12957.62,-2723.65,-4252.77,-7251.69
311824.0497,-12939.03,-2704.48,-4241.23,-7233.95
311824.0507,-12908.03,-2669.1,-4216.34,-7202.01
311824.0517,-12827.78,-2580.36,-4143.91,-7122.76
311824.0527,-12709.71,-2450.56,-4036.76,-7012.56
311824.0537,-12577.54,-2309.04,-3914.02,-6888.82
311824.0547,-12454.37,-2174.47,-3799.01,-6770.95
311824.0557,-12351.47,-2055.26,-3704.69,-6674.34
311824.0567,-12261.73,-1952.74,-3623.68,-6589.51
311824.0577,-12192.54,-1876.55,-3554.63,-6519.99
311824.0587,-12166.45,-1846.55,-3526.88,-6494.81
311824.0597,-12172.32,-1847.32,-3531.17,-6502.1
311824.0607,-12194.68,-1866.91,-3550.77,-6525.23
311824.0617,-12265.21,-1948.21,-3617.29,-6593.28
311824.0627,-12377.26,-2078.72,-3723.57,-6702.09
311824.0637,-12506.11,-2231.69,-3842.59,-6829.21
311824.0647,-12637.0,-2382.71,-3966.43,-6955.58
311824.0657,-12752.77,-2508.21,-4077.53,-7065.44
311824.0667,-12844.66,-2613.35,-4160.45,-7153.46
311824.0677,-12912.37,-2690.41,-4226.3,-7222.32
311824.0687,-12937.64,-2720.31,-4258.59,-7248.59
311824.0697,-12927.15,-2708.96,-4249.53,-7243.25
311824.0707,-12889.67,-2670.62,-4211.14,-7205.34
311824.0717,-12809.04,-2577.73,-4133.84,-7123.23
311824.0727,-12697.51,-2453.14,-4031.52,-7013.99
311824.0737,-12568.81,-2309.47,-3912.97,-6889.06
311824.0747,-12440.49,-2165.6,-3789.04,-6765.41
311824.0757,-12328.2,-2040.62,-3682.47,-6656.98
311824.0767,-12234.69,-1935.72,-3596.31,-6566.14
311824.0777,-12161.88,-1857.85,-3533.13,-6500.77
311824.0787,-12138.65,-1833.44,-3513.05,-6483.84
311824.0797,-12147.81,-1848.22,-3523.54,-6496.38
311824.0807,-12186.39,-1896.43,-3562.36,-6536.01
311824.0817,-12269.93,-1987.27,-3634.55,-6618.6
311824.0827,-12383.65,-2114.06,-3735.26,-6730.75
311824.0837,-12512.97,-2258.4,-3855.9,-6855.68
311824.0847,-12646.39,-2403.21,-3977.01,-6981.09
311824.0857,-12757.11,-2521.18,-4076.0,-7083.99
311824.0867,-12843.42,-2611.3,-4153.16,-7164.29
311824.0877,-12903.5,-2678.3,-4212.43,-7218.08
311824.0887,-12921.48,-2701.81,-4238.42,-7233.33
311824.0897,-12918.57,-2695.18,-4238.94,-7225.75
311824.0907,-12888.53,-2656.32,-4213.86,-7195.09
311824.0917,-12809.33,-2564.53,-4138.04,-7117.08
311824.0927,-12697.75,-2439.07,-4027.94,-7008.22
311824.0937,-12565.33,-2296.26,-3906.92,-6886.15
311824.0947,-12433.58,-2156.5,-3788.81,-6765.51
311824.0957,-12322.0,-2033.04,-3683.14,-6657.17
311824.0967,-12226.87,-1925.42,-3599.21,-6566.62
311824.0977,-12159.44,-1851.42,-3538.47,-6499.96
311824.0987,-12139.56,-1831.82,-3518.06,-6480.5
311824.0997,-12147.71,-1850.65,-3522.25,-6490.09
