TimeStamp,ECR,FCR,ECU,FCU
312415.9207,-10873.08,-465.01,-1664.35,-4344.75
312415.9217,-11002.26,-590.37,-1792.38,-4452.9
312415.9227,-11139.63,-720.31,-1930.33,-4563.43
312415.9237,-11274.2,-853.87,-2062.65,-4678.44
312415.9247,-11433.89,-1013.04,-2216.01,-4824.21
312415.9257,-11601.97,-1181.08,-2390.96,-4984.57
312415.9267,-11738.64,-1313.26,-2542.16,-5112.74
312415.9277,-11820.65,-1382.16,-2620.65,-5179.07
312415.9287,-11822.08,-1359.65,-2621.03,-5159.24
312415.9297,-11782.27,-1307.06,-2585.27,-5114.51
312415.9307,-11731.34,-1243.07,-2544.74,-5068.06
312415.9317,-11658.96,-1153.8,-2467.44,-4992.44
312415.9327,-11487.06,-981.43,-2264.45,-4829.98
312415.9337,-11275.63,-777.05,-2027.13,-4633.95
312415.9347,-11104.06,-615.69,-1872.87,-4482.37
312415.9357,-10940.55,-478.36,-1738.12,-4347.56
312415.9367,-10797.6,-364.64,-1609.18,-4238.37
312415.9377,-10736.99,-322.96,-1556.78,-4197.84
312415.9387,-10740.81,-332.21,-1553.15,-4205.42
312415.9397,-10786.87,-384.43,-1598.07,-4258.35
312415.9407,-10872.84,-478.65,-1681.85,-4347.47
312415.9417,-10969.5,-574.78,-1777.17,-4431.01
312415.9427,-11099.29,-698.95,-1902.01,-4541.68
312415.9437,-11272.0,-869.32,-2075.67,-4702.23
312415.9447,-11430.5,-1029.3,-2239.18,-4851.39
312415.9457,-11563.68,-1156.62,-2382.04,-4968.74
312415.9467,-11671.74,-1250.6,-2489.9,-5055.62
312415.9477,-11729.77,-1297.47,-2554.27,-5104.64
312415.9487,-11718.94,-1289.22,-2547.65,-5102.11
312415.9497,-11674.83,-1245.64,-2493.05,-5066.49
312415.9507,-11614.04,-1176.07,-2424.91,-5002.59
312415.9517,-11522.1,-1079.37,-2327.49,-4914.81
312415.9527,-11381.68,-944.71,-2193.12,-4789.35
312415.9537,-11225.51,-790.36,-2043.53,-4642.87
312415.9547,-11079.5,-646.73,-1898.1,-4509.5
312415.9557,-10944.56,-510.55,-1763.68,-4381.13
312415.9567,-10833.65,-398.02,-1652.24,-4275.56
312415.9577,-10791.49,-356.29,-1607.85,-4236.32
312415.9587,-10792.97,-362.01,-1616.81,-4241.8
312415.9597,-10825.44,-399.64,-1655.39,-4276.47
312415.9607,-10921.1,-494.53,-1748.42,-4359.53
312415.9617,-11055.09,-623.99,-1879.12,-4476.4
312415.9627,-11205.77,-773.67,-2028.04,-4613.64
312415.9637,-11360.5,-929.07,-2168.27,-4753.4
312415.9647,-11486.05,-1058.72,-2288.91,-4874.33
312415.9657,-11592.01,-1172.59,-2407.88,-4979.71
312415.9667,-11690.28,-1262.57,-2508.55,-5069.4
312415.9677,-11749.65,-1313.5,-2557.09,-5127.19
312415.9687,-11774.02,-1330.52,-2575.06,-5154.04
312415.9697,-11732.1,-1289.94,-2537.16,-5120.28
312415.9707,-11630.82,-1183.75,-2439.12,-5021.86
312415.9717,-11517.24,-1061.77,-2327.68,-4904.41
312415.9727,-11381.53,-924.64,-2187.63,-4771.85
312415.9737,-11241.68,-782.82,-2023.03,-4635.86
312415.9747,-11099.96,-637.44,-1863.86,-4494.52
